Date,aapl,tsla
2011-03-17,10.233701705932615,4.561999797821045
2011-03-18,10.112293243408203,4.592000007629395
2011-03-21,10.376211166381836,4.546000003814697
2011-03-22,10.434311866760254,4.438000202178955
2011-03-23,10.372845649719238,4.441999912261963
2011-03-24,10.549605369567873,4.466000080108643
2011-03-25,10.750520706176758,4.550000190734863
2011-03-28,10.71688461303711,4.650000095367432
2011-03-29,10.732789039611816,4.783999919891357
2011-03-30,10.661532402038574,4.742000102996826
2011-03-31,10.65786361694336,5.550000190734863
2011-04-01,10.537068367004396,5.331999778747559
2011-04-04,10.43401050567627,5.165999889373779
2011-04-05,10.363670349121094,5.340000152587891
2011-04-06,10.33768081665039,5.297999858856201
2011-04-07,10.338902473449709,5.447999954223633
2011-04-08,10.24654769897461,5.297999858856201
2011-04-11,10.1162691116333,5.053999900817871
2011-04-12,10.165202140808104,4.929999828338623
2011-04-13,10.279269218444824,4.986000061035156
2011-04-14,10.165813446044922,5.027999877929688
2011-04-15,10.014129638671877,5.116000175476074
2011-04-18,10.148380279541016,5.00600004196167
2011-04-19,10.332171440124512,5.032000064849854
2011-04-20,10.47131633758545,5.150000095367432
2011-04-21,10.724836349487305,5.348000049591064
2011-04-25,10.795480728149414,5.277999877929688
2011-04-26,10.716275215148926,5.386000156402588
2011-04-27,10.708017349243164,5.415999889373779
2011-04-28,10.604039192199709,5.532000064849854
2011-04-29,10.707406997680664,5.519999980926514
2011-05-02,10.589665412902832,5.489999771118164
2011-05-03,10.648380279541016,5.374000072479248
2011-05-04,10.690277099609377,5.337999820709229
2011-05-05,10.604039192199709,5.288000106811523
2011-05-06,10.60128688812256,5.423999786376953
2011-05-09,10.630032539367676,5.581999778747559
2011-05-10,10.686609268188477,5.665999889373779
2011-05-11,10.618719100952148,5.414000034332275
2011-05-12,10.59853744506836,5.533999919891357
2011-05-13,10.412907600402832,5.510000228881836
2011-05-16,10.19272518157959,5.320000171661377
2011-05-17,10.279573440551758,5.191999912261963
2011-05-18,10.393640518188477,5.269999980926514
2011-05-19,10.413824081420898,5.639999866485596
2011-05-20,10.251439094543455,5.593999862670898
2011-05-23,10.22636604309082,5.363999843597412
2011-05-24,10.158777236938477,5.343999862670898
2011-05-25,10.299141883850098,5.796000003814697
2011-05-26,10.244712829589844,5.895999908447266
2011-05-27,10.318415641784668,5.909999847412109
2011-05-31,10.637066841125488,6.027999877929688
2011-06-01,10.566122055053713,5.703999996185303
2011-06-02,10.584163665771484,5.751999855041504
2011-06-03,10.502814292907717,6.026000022888184
2011-06-06,10.33768081665039,5.739999771118164
2011-06-07,10.15419101715088,5.673999786376953
2011-06-08,10.16030502319336,5.423999786376953
2011-06-09,10.137372016906738,5.52400016784668
2011-06-10,9.966422080993652,5.572000026702881
2011-06-13,9.987829208374023,5.685999870300293
2011-06-14,10.166423797607422,5.71999979019165
2011-06-15,9.99241828918457,5.464000225067139
2011-06-16,9.9437894821167,5.300000190734863
2011-06-17,9.793940544128418,5.300000190734863
2011-06-20,9.642873764038086,5.202000141143799
2011-06-21,9.94807243347168,5.50600004196167
2011-06-22,9.86581039428711,5.441999912261963
2011-06-23,10.129422187805176,5.541999816894531
2011-06-24,9.980181694030762,5.513999938964844
2011-06-27,10.15419101715088,5.492000102996826
2011-06-28,10.252660751342772,5.622000217437744
2011-06-29,10.215353965759276,5.657999992370605
2011-06-30,10.265199661254885,5.826000213623047
2011-07-01,10.497313499450684,5.803999900817871
2011-07-05,10.685998916625977,5.828000068664551
2011-07-06,10.75725269317627,5.791999816894531
2011-07-07,10.923613548278809,5.946000099182129
2011-07-08,11.000371932983398,5.76200008392334
2011-07-11,10.825757026672363,5.670000076293945
2011-07-12,10.818109512329102,5.633999824523926
2011-07-13,10.948695182800291,5.728000164031982
2011-07-14,10.941043853759766,5.521999835968018
2011-07-15,11.159701347351074,5.515999794006348
2011-07-18,11.431264877319336,5.446000099182129
2011-07-19,11.524535179138184,5.578000068664551
2011-07-20,11.831873893737791,5.73799991607666
2011-07-21,11.843804359436035,5.739999771118164
2011-07-22,12.027595520019531,5.857999801635742
2011-07-25,12.18662166595459,5.697999954223633
2011-07-26,12.336771965026855,5.599999904632568
2011-07-27,12.00588607788086,5.527999877929688
2011-07-28,11.982336044311523,5.633999824523926
2011-07-29,11.94135856628418,5.633999824523926
2011-08-01,12.133102416992188,5.754000186920166
2011-08-02,11.893343925476074,5.467999935150146
2011-08-03,12.005271911621094,5.440000057220459
2011-08-04,11.54043674468994,4.949999809265137
2011-08-05,11.42575740814209,4.848000049591064
2011-08-08,10.80159854888916,4.728000164031982
2011-08-09,11.437687873840332,5.01200008392334
2011-08-10,11.122088432312012,4.763999938964844
2011-08-11,11.428208351135254,5.059999942779541
2011-08-12,11.52881908416748,5.26200008392334
2011-08-15,11.725150108337402,5.245999813079834
2011-08-16,11.635543823242188,5.21999979019165
2011-08-17,11.634323120117188,5.165999889373779
2011-08-18,11.194257736206056,4.852000236511231
2011-08-19,10.887834548950195,4.460000038146973
2011-08-22,10.900373458862305,4.389999866485596
2011-08-23,11.425143241882324,4.592000007629395
2011-08-24,11.504043579101562,4.77400016784668
2011-08-25,11.42881679534912,4.622000217437744
2011-08-26,11.730348587036133,4.745999813079834
2011-08-29,11.925759315490724,4.941999912261963
2011-08-30,11.926372528076172,4.926000118255615
2011-08-31,11.768576622009276,4.947999954223633
2011-09-01,11.652365684509276,4.800000190734863
2011-09-02,11.43891143798828,4.613999843597412
2011-09-06,11.6129150390625,4.587999820709229
2011-09-07,11.74105167388916,4.76800012588501
